DEPARTAMENTO,MUNICIPIO,AÑO,Centros_5G_predicho,Antenas_5G_Predicho
CHOCÓ,MEDIO BAUDÓ,2025,42,5
CHOCÓ,MEDIO SAN JUAN,2025,29,4
CHOCÓ,NUQUÍ,2025,49,6
CHOCÓ,NÓVITA,2025,25,3
CHOCÓ,QUIBDÓ,2025,46,6
CHOCÓ,RÍO IRÓ,2025,14,2
CHOCÓ,RÍO QUITO,2025,23,3
CHOCÓ,SAN JOSÉ DEL PALMAR,2025,15,2
CHOCÓ,SIPÍ,2025,27,3
CHOCÓ,TADÓ,2025,20,2
CHOCÓ,UNGUÍA,2025,42,5
CHOCÓ,UNIÓN PANAMERICANA,2025,15,2
CUNDINAMARCA,AGUA DE DIOS,2025,15,2
CUNDINAMARCA,ALBÁN,2025,19,2
CUNDINAMARCA,ANAPOIMA,2025,35,4
CUNDINAMARCA,ANOLAIMA,2025,23,3
CUNDINAMARCA,APULO,2025,15,2
CUNDINAMARCA,ARBELÁEZ,2025,19,2
CUNDINAMARCA,BELTRÁN,2025,25,3
CUNDINAMARCA,BITUIMA,2025,15,2
CUNDINAMARCA,BOJACÁ,2025,19,2
CUNDINAMARCA,CABRERA,2025,11,1
CUNDINAMARCA,CACHIPAY,2025,27,3
CUNDINAMARCA,CAJICÁ,2025,167,21
CUNDINAMARCA,CAPARRAPÍ,2025,29,4
CUNDINAMARCA,CAQUEZA,2025,15,2
CUNDINAMARCA,CARMEN DE CARUPA,2025,11,1
CUNDINAMARCA,CHAGUANÍ,2025,11,1
CUNDINAMARCA,CHIPAQUE,2025,23,3
CUNDINAMARCA,CHOACHÍ,2025,23,3
CUNDINAMARCA,CHOCONTÁ,2025,19,2
CUNDINAMARCA,CHÍA,2025,120,15
CUNDINAMARCA,COGUA,2025,89,11
CUNDINAMARCA,COTA,2025,15,2
CUNDINAMARCA,CUCUNUBÁ,2025,19,2
CUNDINAMARCA,EL COLEGIO,2025,35,4
CUNDINAMARCA,EL ROSAL,2025,38,5
CUNDINAMARCA,FACATATIVÁ,2025,120,15
CUNDINAMARCA,FOMEQUE,2025,23,3
CUNDINAMARCA,FOSCA,2025,19,2
CUNDINAMARCA,FUNZA,2025,42,5
CUNDINAMARCA,FUSAGASUGÁ,2025,62,8
CUNDINAMARCA,FÚQUENE,2025,23,3
CUNDINAMARCA,GACHALA,2025,15,2
CUNDINAMARCA,GACHANCIPÁ,2025,23,3
CUNDINAMARCA,GACHETÁ,2025,15,2
CUNDINAMARCA,GAMA,2025,11,1
CUNDINAMARCA,GIRARDOT,2025,27,3
CUNDINAMARCA,GUACHETÁ,2025,15,2
CUNDINAMARCA,GUADUAS,2025,42,5
CUNDINAMARCA,GUASCA,2025,27,3
CUNDINAMARCA,GUATAQUÍ,2025,19,2
CUNDINAMARCA,GUATAVITA,2025,19,2
CUNDINAMARCA,GUAYABAL DE SIQUIMA,2025,11,1
